Disciplina;Frecuency-Chatbots
TIC;"A veces"
TIC;"Casi nunca"
TIC;"Casi siempre"
TIC;"A veces"
TIC;"Casi siempre"
TIC;"Casi nunca"
Otras;Nunca
Otras;"A veces"
Otras;"A veces"
TIC;"Casi siempre"
TIC;Nunca
TIC;"Casi nunca"
TIC;"A veces"
TIC;"A veces"
TIC;"Casi siempre"
Otras;"A veces"
Otras;"Casi nunca"
Otras;"A veces"
TIC;"A veces"
TIC;"A veces"
TIC;"A veces"
TIC;"Casi siempre"
TIC;Siempre
TIC;"Casi siempre"
Otras;"A veces"
Otras;"A veces"
Otras;"Casi nunca"
Otras;Siempre
Otras;"A veces"
Otras;"A veces"
Otras;Siempre
TIC;Siempre
Otras;"A veces"
TIC;"A veces"
Otras;"A veces"
TIC;"A veces"
Otras;Nunca
Otras;"A veces"
TIC;"Casi siempre"
Otras;"A veces"
Otras;"A veces"
TIC;"A veces"
TIC;"A veces"
TIC;"Casi nunca"
Otras;"A veces"
Otras;Nunca
